,graph_id,node_count
0,0,3
1,1,4
2,2,15
3,3,9
4,4,16
5,5,3
6,6,5
7,7,2
8,8,4
9,9,12
10,10,6
11,11,2
12,12,18
13,13,11
14,14,12
15,15,4
16,16,2
17,17,7
18,18,24
19,19,7
20,20,2
21,21,77
22,22,4
23,23,3
24,24,3
25,25,3
26,26,11
27,27,2
28,28,2
29,29,4
30,30,9
31,31,2
32,32,2
33,33,6
34,34,5
35,35,3
36,36,10
37,37,13
38,38,7
39,39,5
40,40,3
41,41,7
42,42,18
43,43,33
44,44,6
45,45,7
46,46,5
47,47,6
48,48,16
49,49,14
50,50,5
51,51,8
52,52,5
53,53,7
54,54,8
55,55,8
56,56,11
57,57,146
58,58,10
59,59,12
60,60,16
61,61,10
62,62,6
63,63,4
64,64,5
65,65,13
66,66,10
67,67,3
68,68,12
69,69,10
70,70,6
71,71,9
72,72,2
73,73,11
74,74,22
75,75,2
76,76,2
77,77,22
78,78,9
79,79,2
80,80,8
81,81,8
82,82,23
83,83,6
84,84,5
85,85,13
86,86,3
87,87,8
88,88,54
