,name,stock,guarantee,transaction,label
0,安徽楚江科技新材料股份有限公司,48,48,64,13
1,保利联合化工控股集团股份有限公司,37,37,35,13
2,北方华锦化学工业股份有限公司,0,0,13,10
3,安徽江南化工股份有限公司,53,53,38,7
4,唐山冀东水泥股份有限公司,3,3,42,10
5,天齐锂业股份有限公司,71,71,23,5
6,诚志股份有限公司,34,34,79,5
7,崇义章源钨业股份有限公司,67,67,60,7
8,中粮生物科技股份有限公司,25,25,36,7
9,华油惠博普科技股份有限公司,78,78,65,14
10,新大洲控股股份有限公司,6,6,75,0
11,大亚圣象家居股份有限公司,24,24,32,13
12,东华能源股份有限公司,51,51,7,5
13,海南瑞泽新型建材股份有限公司,80,80,30,13
14,国城矿业股份有限公司,10,10,43,13
15,深圳市中金岭南有色金属股份有限公司,1,1,25,5
16,佛山佛塑科技集团股份有限公司,32,32,63,13
17,广东宏大控股集团股份有限公司,81,81,49,13
18,神州数码集团股份有限公司,74,74,86,13
19,浙江海亮股份有限公司,49,49,9,13
20,河南神火煤电股份有限公司,26,26,57,7
21,鸿达兴业股份有限公司,36,36,19,30
22,厦门弘信电子科技集团股份有限公司,66,66,85,7
23,广东德美精细化工集团股份有限公司,38,38,27,7
24,湖北宜化化工股份有限公司,4,4,14,15
25,湖南黄金股份有限公司,46,46,58,5
26,江苏东方盛虹股份有限公司,2,2,70,5
27,江西万年青水泥股份有限公司,18,18,53,5
28,江西黑猫炭黑股份有限公司,40,40,46,7
29,甘肃能化股份有限公司,5,5,69,5
30,山西蓝焰控股股份有限公司,31,31,45,13
31,浙江久立特材科技股份有限公司,63,63,33,7
32,冀中能源股份有限公司,27,27,6,5
33,利亚德光电股份有限公司,60,60,87,5
34,利民控股集团股份有限公司,83,83,68,13
35,金正大生态工程集团股份有限公司,72,72,24,13
36,多氟多新材料股份有限公司,69,69,16,0
37,濮阳濮耐高温材料(集团)股份有限公司,52,52,80,13
38,北京东方雨虹防水技术股份有限公司,57,57,72,10
39,齐峰新材料股份有限公司,76,76,81,7
40,广东东方锆业科技股份有限公司,47,47,59,31
41,深圳诺普信作物科学股份有限公司,50,50,52,0
42,山西美锦能源股份有限公司,14,14,26,7
43,联化科技股份有限公司,55,55,47,13
44,攀钢集团钒钛资源股份有限公司,7,7,56,11
45,山东太阳纸业股份有限公司,41,41,37,5
46,奥瑞金科技股份有限公司,82,82,41,5
47,山西焦煤能源集团股份有限公司,33,33,15,10
48,沈阳化工股份有限公司,11,11,76,13
49,盛新锂能集团股份有限公司,54,54,1,1
50,深圳市科陆电子科技股份有限公司,85,85,83,7
51,北京首钢股份有限公司,29,29,17,10
52,上海顺灏新材料科技股份有限公司,79,79,67,7
53,利尔化学股份有限公司,56,56,39,13
54,四川发展龙蟒股份有限公司,62,62,73,0
55,成都云图控股股份有限公司,77,77,77,13
56,苏宁环球股份有限公司,87,87,88,13
57,江苏华昌化工股份有限公司,58,58,55,2
58,山东中锐产业发展股份有限公司,65,65,21,16
59,山西太钢不锈钢股份有限公司,20,20,44,10
60,铜陵有色金属集团股份有限公司,8,8,0,7
61,西部金属材料股份有限公司,45,45,28,0
62,河南恒星科技股份有限公司,44,44,82,2
63,新疆中泰化学股份有限公司,43,43,2,5
64,新乡化纤股份有限公司,28,28,4,2
65,新兴铸管股份有限公司,16,16,10,10
66,四川国光农化股份有限公司,86,86,74,7
67,新洋丰农业科技股份有限公司,23,23,71,13
68,宜宾天原集团股份有限公司,68,68,22,13
69,云南铜业股份有限公司,22,22,12,5
70,云南锡业股份有限公司,30,30,51,5
71,山西同德化工股份有限公司,64,64,78,0
72,招商局公路网络科技控股股份有限公司,59,59,84,10
73,恒逸石化股份有限公司,12,12,5,5
74,荣盛石化股份有限公司,73,73,40,10
75,甘肃上峰水泥股份有限公司,9,9,50,5
76,浙农集团股份有限公司,88,88,34,13
77,新疆天山水泥股份有限公司,21,21,8,10
78,北新集团建材股份有限公司,17,17,11,10
79,中材科技股份有限公司,42,42,66,5
80,瑞泰科技股份有限公司,39,39,20,0
81,云南铝业股份有限公司,19,19,54,13
82,中国有色金属建设股份有限公司,15,15,31,10
83,江苏辉丰生物农业股份有限公司,75,75,48,16
84,中建西部建设股份有限公司,61,61,3,5
85,中矿资源集团股份有限公司,84,84,61,7
86,内蒙古大中矿业股份有限公司,35,35,18,13
87,中信泰富特钢集团股份有限公司,13,13,62,10
88,淄博齐翔腾达化工股份有限公司,70,70,29,13
