,graph_id,node_count
0,0,19
1,1,56
2,2,58
3,3,129
4,4,34
5,5,18
6,6,29
7,7,21
8,8,43
9,9,74
10,10,30
11,11,15
12,12,60
13,13,54
14,14,100
15,15,18
16,16,43
17,17,124
18,18,89
19,19,26
20,20,30
21,21,539
22,22,23
23,23,45
24,24,72
25,25,22
26,26,78
27,27,32
28,28,17
29,29,35
30,30,25
31,31,21
32,32,22
33,33,41
34,34,48
35,35,28
36,36,52
37,37,94
38,38,33
39,39,22
40,40,28
41,41,24
42,42,55
43,43,43
44,44,27
45,45,14
46,46,34
47,47,19
48,48,38
49,49,42
50,50,122
51,51,39
52,52,28
53,53,133
54,54,42
55,55,28
56,56,26
57,57,307
58,58,23
59,59,71
60,60,46
61,61,128
62,62,29
63,63,23
64,64,29
65,65,36
66,66,30
67,67,19
68,68,44
69,69,36
70,70,22
71,71,25
72,72,64
73,73,55
74,74,50
75,75,33
76,76,18
77,77,72
78,78,36
79,79,39
80,80,50
81,81,63
82,82,69
83,83,26
84,84,21
85,85,50
86,86,25
87,87,68
88,88,272
