,graph_id,node_count
0,0,15
1,1,5
2,2,8
3,3,57
4,4,2
5,5,12
6,6,28
7,7,19
8,8,3
9,9,2
10,10,41
11,11,282
12,12,48
13,13,8
14,14,11
15,15,28
16,16,3
17,17,9
18,18,6
19,19,5
20,20,15
21,21,6
22,22,22
23,23,2
24,24,4
25,25,9
26,26,31
27,27,12
28,28,26
29,29,7
30,30,6
31,31,31
32,32,12
33,33,4
34,34,14
35,35,4
36,36,3
37,37,6
38,38,4
39,39,2
40,40,7
41,41,10
42,42,4
43,43,2
44,44,34
45,45,3
46,46,9
47,47,2
48,48,4
49,49,10
50,50,3
51,51,8
52,52,2
53,53,10
54,54,5
55,55,4
56,56,11
57,57,5
58,58,6
59,59,3
60,60,3
61,61,2
62,62,43
63,63,12
64,64,5
65,65,4
66,66,6
67,67,5
68,68,2
69,69,23
70,70,2
71,71,7
72,72,2
73,73,5
74,74,2
75,75,5
76,76,3
77,77,6
78,78,2
79,79,3
80,80,2
81,81,3
82,82,3
83,83,5
84,84,6
85,85,4
86,86,5
87,87,3
88,88,7
