,Fullname,IsCenter,ID
0,北方华锦化学工业股份有限公司,True,0
1,深圳市中金岭南有色金属股份有限公司,True,1
2,江苏东方盛虹股份有限公司,True,2
3,唐山冀东水泥股份有限公司,True,3
4,湖北宜化化工股份有限公司,True,4
5,甘肃能化股份有限公司,True,5
6,新大洲控股股份有限公司,True,6
7,攀钢集团钒钛资源股份有限公司,True,7
8,铜陵有色金属集团股份有限公司,True,8
9,甘肃上峰水泥股份有限公司,True,9
10,国城矿业股份有限公司,True,10
11,沈阳化工股份有限公司,True,11
12,恒逸石化股份有限公司,True,12
13,中信泰富特钢集团股份有限公司,True,13
14,山西美锦能源股份有限公司,True,14
15,中国有色金属建设股份有限公司,True,15
16,新兴铸管股份有限公司,True,16
17,北新集团建材股份有限公司,True,17
18,江西万年青水泥股份有限公司,True,18
19,云南铝业股份有限公司,True,19
20,山西太钢不锈钢股份有限公司,True,20
21,新疆天山水泥股份有限公司,True,21
22,云南铜业股份有限公司,True,22
23,新洋丰农业科技股份有限公司,True,23
24,大亚圣象家居股份有限公司,True,24
25,中粮生物科技股份有限公司,True,25
26,河南神火煤电股份有限公司,True,26
27,冀中能源股份有限公司,True,27
28,新乡化纤股份有限公司,True,28
29,北京首钢股份有限公司,True,29
30,云南锡业股份有限公司,True,30
31,山西蓝焰控股股份有限公司,True,31
32,佛山佛塑科技集团股份有限公司,True,32
33,山西焦煤能源集团股份有限公司,True,33
34,诚志股份有限公司,True,34
35,内蒙古大中矿业股份有限公司,True,35
36,鸿达兴业股份有限公司,True,36
37,保利联合化工控股集团股份有限公司,True,37
38,广东德美精细化工集团股份有限公司,True,38
39,瑞泰科技股份有限公司,True,39
40,江西黑猫炭黑股份有限公司,True,40
41,山东太阳纸业股份有限公司,True,41
42,中材科技股份有限公司,True,42
43,新疆中泰化学股份有限公司,True,43
44,河南恒星科技股份有限公司,True,44
45,西部金属材料股份有限公司,True,45
46,湖南黄金股份有限公司,True,46
47,广东东方锆业科技股份有限公司,True,47
48,安徽楚江科技新材料股份有限公司,True,48
49,浙江海亮股份有限公司,True,49
50,深圳诺普信作物科学股份有限公司,True,50
51,东华能源股份有限公司,True,51
52,濮阳濮耐高温材料(集团)股份有限公司,True,52
53,安徽江南化工股份有限公司,True,53
54,盛新锂能集团股份有限公司,True,54
55,联化科技股份有限公司,True,55
56,利尔化学股份有限公司,True,56
57,北京东方雨虹防水技术股份有限公司,True,57
58,江苏华昌化工股份有限公司,True,58
59,招商局公路网络科技控股股份有限公司,True,59
60,利亚德光电股份有限公司,True,60
61,中建西部建设股份有限公司,True,61
62,四川发展龙蟒股份有限公司,True,62
63,浙江久立特材科技股份有限公司,True,63
64,山西同德化工股份有限公司,True,64
65,山东中锐产业发展股份有限公司,True,65
66,厦门弘信电子科技集团股份有限公司,True,66
67,崇义章源钨业股份有限公司,True,67
68,宜宾天原集团股份有限公司,True,68
69,多氟多新材料股份有限公司,True,69
70,淄博齐翔腾达化工股份有限公司,True,70
71,天齐锂业股份有限公司,True,71
72,金正大生态工程集团股份有限公司,True,72
73,荣盛石化股份有限公司,True,73
74,神州数码集团股份有限公司,True,74
75,江苏辉丰生物农业股份有限公司,True,75
76,齐峰新材料股份有限公司,True,76
